name_fielder,position,start_dist_st_R,start_ang_st_R,start_dist_sh_R,start_ang_sh_R,start_dist_st_L,start_ang_st_L,start_dist_sh_L,start_ang_sh_L
mercadooscar,LF,298.0,-26.0,302.5125,-26.669444444444444,289.6809734513274,-28.84188790560472,292.11885521885523,-28.30252525252525
mercadooscar,RF,290.0,27.0,292.3405172413793,27.46120689655172,296.0,27.0,301.0,27.0
merrifieldwhit,2B,153.33333333333334,7.333333333333333,154.66666666666666,3.0,148.66666666666666,19.33333333333333,147.66666666666666,21.0
merrifieldwhit,3B,120.0,-37.0,121.58928571428572,-37.36607142857143,121.0,-31.0,131.24347389558233,-22.40863453815261
merrifieldwhit,LF,306.0,-25.5,300.0,-26.0,282.5,-29.5,285.0,-29.5
merrifieldwhit,RF,288.0,27.0,292.3405172413793,27.46120689655172,297.0,24.0,301.07402707275804,26.316412859560067
merrilljackson,CF,326.0,1.0,329.0,0.0,324.0,-1.0,325.0,-1.0
mervismatt,1B,111.0,29.0,111.71960784313724,28.4078431372549,120.0,38.0,121.0,38.0
meyersjake,CF,320.5,2.5,320.5,1.0,318.0,-3.5,320.5,-2.0
millerbrad,1B,118.0,32.0,111.71960784313724,28.4078431372549,122.48407643312102,37.705414012738856,124.10011574074076,38.27430555555556
millerowen,1B,117.0,31.5,117.0,32.0,123.5,37.5,124.0,38.0
millerowen,2B,153.0,7.0,153.72596153846155,3.121794871794872,149.0,18.0,148.0,20.0
millerowen,3B,119.0,-37.0,121.58928571428572,-37.36607142857143,118.0,-27.0,130.0,-24.0
millerowen,LF,303.0,-28.0,302.5125,-26.669444444444444,289.6809734513274,-28.84188790560472,292.11885521885523,-28.30252525252525
millerowen,RF,293.0,27.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
mirandajose,1B,115.0,26.0,111.71960784313724,28.4078431372549,126.0,38.0,129.0,39.0
mirandajose,3B,125.5,-37.0,125.0,-38.0,115.0,-27.0,130.5,-21.5
misnerkameron,LF,306.0,-27.0,308.0,-26.0,289.6809734513274,-28.84188790560472,292.11885521885523,-28.30252525252525
mitchellcal,RF,286.0,30.0,292.3405172413793,27.46120689655172,299.9954545454545,25.76666666666667,301.07402707275804,26.316412859560067
mitchellgarrett,CF,326.0,0.5,323.3076923076923,0.5865384615384616,326.0,-0.5,328.5,0.0
mitchellgarrett,RF,291.0,27.0,292.3405172413793,27.46120689655172,293.0,28.0,301.07402707275804,26.316412859560067
monasterioandruw,1B,113.0,28.0,111.71960784313724,28.4078431372549,126.0,38.0,124.10011574074076,38.27430555555556
monasterioandruw,2B,153.0,5.5,153.72596153846155,3.121794871794872,148.5,19.0,147.0,21.0
monasterioandruw,3B,123.0,-37.0,120.0,-38.0,116.0,-25.5,129.0,-23.0
monasterioandruw,SS,149.0,-17.0,147.2686274509804,-20.26078431372549,152.54887218045113,-6.215538847117794,153.35215053763443,-3.888440860215054
moncadayoan,3B,120.0,-35.5,121.58928571428572,-37.36607142857143,115.5,-27.0,122.5,-24.0
moniakmickey,CF,325.5,1.0,325.5,0.5,326.5,-2.0,329.5,-1.5
moniakmickey,LF,303.0,-24.0,305.0,-26.0,290.0,-29.0,293.5,-28.0
moniakmickey,RF,291.5,28.0,294.0,27.0,304.0,25.0,303.5,25.5
monteroelehuris,1B,118.0,32.0,113.0,29.0,126.0,38.5,127.0,39.5
monteroelehuris,3B,124.0,-37.0,119.0,-38.0,118.0,-28.0,135.0,-23.0
